file,churn,total_complexity,average_method_complexity
app/models/miq_expression.rb,54,2236.5,34.9
config/routes.rb,31,464.2,154.7
app/models/miq_provision_virt_workflow.rb,17,1332.1,19.0
app/models/miq_server.rb,16,652.7,8.9
app/models/manageiq/providers/hawkular/middleware_manager.rb,16,225.6,6.1
app/models/vm_or_template.rb,15,2450.5,13.5
app/services/dialog_field_visibility_service.rb,14,82.2,11.7
app/models/ext_management_system.rb,13,609.7,8.4
app/models/metric/targets.rb,12,142.1,10.9
app/models/manageiq/providers/cloud_manager/virtual_template.rb,11,14.4,4.8
app/models/metric/capture.rb,11,275.3,14.5
lib/acts_as_ar_query.rb,11,172.9,6.6
lib/miq_automation_engine/models/miq_ae_field.rb,11,78.7,8.7
app/models/miq_report/generator.rb,10,1397.2,34.9
app/models/manageiq/providers/azure/cloud_manager/metrics_capture.rb,10,189.9,21.1
app/models/host.rb,10,2237.3,12.1
app/models/miq_report.rb,10,215.4,9.8
lib/miq_automation_engine/engine/miq_ae_object.rb,9,1131.6,18.3
lib/vmdb/global_methods.rb,9,85.2,9.5
app/models/manageiq/providers/hawkular/middleware_manager/live_metrics_capture.rb,9,140.0,9.3
app/models/custom_button.rb,9,139.2,7.3
app/models/mixins/assignment_mixin.rb,9,176.6,19.6
app/models/manageiq/providers/hawkular/middleware_manager/refresh_parser.rb,9,252.6,9.7
lib/vmdb/settings/database_source.rb,8,62.3,10.4
app/models/container_label_tag_mapping.rb,8,68.1,6.8
app/models/manageiq/providers/container_manager.rb,8,59.3,9.9
app/models/chargeback.rb,8,259.9,32.5
app/models/manageiq/providers/redhat/infra_manager.rb,8,219.5,9.1
app/models/manageiq/providers/openstack/cloud_manager/refresh_parser.rb,8,477.2,11.1
app/models/storage.rb,8,1233.1,13.1
gems/pending/VMwareWebService/MiqVimInventory.rb,7,2302.2,14.7
app/models/miq_schedule.rb,7,726.6,22.0
app/models/miq_request_workflow.rb,7,2164.2,16.5
tools/rest_api.rb,7,311.8,44.5
