file,churn,total_complexity,average_method_complexity
app/controllers/api_controller.rb,29,119.1,10.8
app/controllers/api_controller/arbitration_profiles.rb,4,36.7,5.2
app/controllers/api_controller/authentication.rb,8,148.3,9.3
app/controllers/api_controller/collection_config.rb,14,98.2,4.3
app/controllers/api_controller/container_deployments.rb,3,10.5,5.2
app/controllers/api_controller/entrypoint.rb,5,25.6,8.5
app/controllers/api_controller/generic.rb,4,247.6,13.8
app/controllers/api_controller/initializer.rb,15,65.9,7.3
app/controllers/api_controller/manager.rb,4,138.4,10.6
app/controllers/api_controller/normalizer.rb,6,137.2,9.8
app/controllers/api_controller/parameters.rb,3,177.7,11.8
app/controllers/api_controller/parser.rb,18,286.3,8.4
app/controllers/api_controller/parser/request_adapter.rb,5,89.7,4.1
app/controllers/api_controller/renderer.rb,15,462.0,10.5
app/controllers/api_controller/reports.rb,9,82.7,7.5
app/controllers/api_controller/results.rb,3,46.0,4.6
app/controllers/api_controller/service_orders.rb,8,54.6,4.5
app/controllers/api_controller/service_requests.rb,5,97.5,8.1
app/controllers/api_controller/users.rb,3,112.1,9.3
app/controllers/application_controller.rb,32,4444.1,37.0
app/controllers/application_controller/automate.rb,3,353.0,32.1
app/controllers/application_controller/buttons.rb,6,2404.5,54.6
app/controllers/application_controller/ci_processing.rb,30,4395.8,40.3
app/controllers/application_controller/compare.rb,5,3405.5,28.6
app/controllers/application_controller/dialog_runner.rb,3,316.6,19.8
app/controllers/application_controller/explorer.rb,6,273.6,22.8
app/controllers/application_controller/filter.rb,13,4199.6,105.0
app/controllers/application_controller/miq_request_methods.rb,6,2405.8,57.3
app/controllers/application_controller/performance.rb,13,3387.7,91.6
app/controllers/application_controller/policy_support.rb,8,520.9,40.1
app/controllers/application_controller/tags.rb,5,688.6,31.3
app/controllers/application_controller/timelines.rb,38,579.9,48.3
app/controllers/application_controller/timelines/options.rb,31,497.5,29.3
app/controllers/auth_key_pair_cloud_controller.rb,11,311.5,20.8
app/controllers/catalog_controller.rb,14,3474.4,35.8
app/controllers/chargeback_controller.rb,12,1572.4,37.4
app/controllers/cloud_tenant_controller.rb,3,90.6,12.9
app/controllers/cloud_volume_controller.rb,10,660.8,31.5
app/controllers/configuration_controller.rb,13,1843.0,49.8
app/controllers/configuration_job_controller.rb,3,103.8,10.4
app/controllers/container_controller.rb,8,391.7,21.8
app/controllers/dashboard_controller.rb,11,1416.3,33.7
app/controllers/ems_common.rb,21,2267.7,58.1
app/controllers/ems_container_controller.rb,4,28.2,2.8
app/controllers/host_controller.rb,6,1189.5,41.0
app/controllers/middleware_datasource_controller.rb,3,61.2,10.2
app/controllers/middleware_deployment_controller.rb,6,68.4,11.4
app/controllers/middleware_server_controller.rb,10,125.6,15.7
app/controllers/miq_ae_class_controller.rb,8,4421.7,34.3
app/controllers/miq_ae_customization_controller.rb,7,614.7,17.1
app/controllers/miq_ae_customization_controller/old_dialogs.rb,4,513.6,30.2
app/controllers/miq_ae_tools_controller.rb,6,615.6,22.0
app/controllers/miq_capacity_controller.rb,10,1984.7,62.0
app/controllers/miq_policy_controller.rb,12,2309.5,56.3
app/controllers/miq_policy_controller/conditions.rb,4,603.9,60.4
app/controllers/miq_policy_controller/policies.rb,5,610.3,55.5
app/controllers/miq_policy_controller/rsop.rb,4,343.8,49.1
app/controllers/miq_request_controller.rb,6,1007.3,31.5
app/controllers/miq_task_controller.rb,4,644.8,19.0
app/controllers/mixins/containers_common_mixin.rb,6,499.3,29.4
app/controllers/mixins/ems_common_angular.rb,18,764.0,38.2
app/controllers/mixins/middleware_common_mixin.rb,4,18.8,3.1
app/controllers/mixins/sandbox.rb,14,53.3,4.4
app/controllers/ops_controller.rb,6,1050.3,33.9
app/controllers/ops_controller/ops_rbac.rb,5,2158.4,27.0
app/controllers/ops_controller/rbac_tree.rb,3,146.4,18.3
app/controllers/ops_controller/settings.rb,3,381.4,29.3
app/controllers/ops_controller/settings/analysis_profiles.rb,3,2137.5,73.7
app/controllers/ops_controller/settings/cap_and_u.rb,13,946.7,118.3
app/controllers/ops_controller/settings/common.rb,8,3061.4,113.4
app/controllers/ops_controller/settings/schedules.rb,4,1253.3,38.0
app/controllers/orchestration_stack_controller.rb,4,377.6,19.9
app/controllers/provider_foreman_controller.rb,37,1320.5,12.1
app/controllers/pxe_controller.rb,4,298.3,27.1
app/controllers/pxe_controller/iso_datastores.rb,3,495.5,21.5
app/controllers/report_controller.rb,9,1452.2,37.2
app/controllers/report_controller/pivot_options.rb,5,123.9,13.8
app/controllers/report_controller/reports.rb,12,494.6,29.1
app/controllers/report_controller/reports/editor.rb,28,5209.8,118.4
app/controllers/report_controller/schedules.rb,4,1087.8,57.3
app/controllers/report_controller/widgets.rb,9,1642.1,71.4
app/controllers/service_controller.rb,5,469.5,19.6
app/controllers/storage_controller.rb,13,862.6,17.6
app/controllers/storage_manager_controller.rb,3,759.4,31.6
app/controllers/vm_cloud_controller.rb,32,247.6,20.6
app/controllers/vm_common.rb,32,3102.3,43.1
app/helpers/application_helper.rb,27,1706.1,13.4
app/helpers/application_helper/button/basic.rb,4,38.5,6.4
app/helpers/application_helper/button/instance_evacuate.rb,3,4.8,2.4
app/helpers/application_helper/button/vm_instance_scan.rb,7,20.4,5.1
app/helpers/application_helper/button/vm_stop.rb,5,8.9,2.2
